idp_num,pheno,ukb_id,idp_short_name,cat_num,category,description,h2,h2_se
0065,0065,25821,IDP_T1_FAST_ROIs_R_supramarg_gyrus_post,1,regional and tissue volume,"Volume of grey matter in Right Supramarginal Gyrus, posterior division",0.062,0.015
0066,0066,25822,IDP_T1_FAST_ROIs_L_angular_gyrus,1,regional and tissue volume,Volume of grey matter in Left Angular Gyrus,0.13,0.0175
0067,0067,25823,IDP_T1_FAST_ROIs_R_angular_gyrus,1,regional and tissue volume,Volume of grey matter in Right Angular Gyrus,0.107,0.0159
0068,0068,25824,IDP_T1_FAST_ROIs_L_latocc_cortex_sup,1,regional and tissue volume,"Volume of grey matter in Left Lateral Occipital Cortex, superior division",0.126,0.017
0069,0069,25825,IDP_T1_FAST_ROIs_R_latocc_cortex_sup,1,regional and tissue volume,"Volume of grey matter in Right Lateral Occipital Cortex, superior division",0.107,0.0161
0070,0070,25826,IDP_T1_FAST_ROIs_L_latocc_cortex_inf,1,regional and tissue volume,"Volume of grey matter in Left Lateral Occipital Cortex, inferior division",0.138,0.0183
0071,0071,25827,IDP_T1_FAST_ROIs_R_latocc_cortex_inf,1,regional and tissue volume,"Volume of grey matter in Right Lateral Occipital Cortex, inferior division",0.105,0.0185
0072,0072,25828,IDP_T1_FAST_ROIs_L_intracalc_cortex,1,regional and tissue volume,Volume of grey matter in Left Intracalcarine Cortex,0.306,0.0261
0073,0073,25829,IDP_T1_FAST_ROIs_R_intracalc_cortex,1,regional and tissue volume,Volume of grey matter in Right Intracalcarine Cortex,0.317,0.0277
0074,0074,25830,IDP_T1_FAST_ROIs_L_front_med_cortex,1,regional and tissue volume,Volume of grey matter in Left Frontal Medial Cortex,0.1,0.0145
0075,0075,25831,IDP_T1_FAST_ROIs_R_front_med_cortex,1,regional and tissue volume,Volume of grey matter in Right Frontal Medial Cortex,0.0823,0.0142
0076,0076,25832,IDP_T1_FAST_ROIs_L_juxtapos_lobule_cortex,1,regional and tissue volume,Volume of grey matter in Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.076,0.0155
0077,0077,25833,IDP_T1_FAST_ROIs_R_juxtapos_lobule_cortex,1,regional and tissue volume,Volume of grey matter in Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.0696,0.0152
0078,0078,25834,IDP_T1_FAST_ROIs_L_subcallosal_cortex,1,regional and tissue volume,Volume of grey matter in Left Subcallosal Cortex,0.285,0.024
0079,0079,25835,IDP_T1_FAST_ROIs_R_subcallosal_cortex,1,regional and tissue volume,Volume of grey matter in Right Subcallosal Cortex,0.276,0.0234
0080,0080,25836,IDP_T1_FAST_ROIs_L_paracing_gyrus,1,regional and tissue volume,Volume of grey matter in Left Paracingulate Gyrus,0.167,0.0175
0081,0081,25837,IDP_T1_FAST_ROIs_R_paracing_gyrus,1,regional and tissue volume,Volume of grey matter in Right Paracingulate Gyrus,0.148,0.0163
0082,0082,25838,IDP_T1_FAST_ROIs_L_cing_gyrus_ant,1,regional and tissue volume,"Volume of grey matter in Left Cingulate Gyrus, anterior division",0.151,0.0175
0083,0083,25839,IDP_T1_FAST_ROIs_R_cing_gyrus_ant,1,regional and tissue volume,"Volume of grey matter in Right Cingulate Gyrus, anterior division",0.142,0.0205
0084,0084,25840,IDP_T1_FAST_ROIs_L_cing_gyrus_post,1,regional and tissue volume,"Volume of grey matter in Left Cingulate Gyrus, posterior division",0.167,0.0173
0085,0085,25841,IDP_T1_FAST_ROIs_R_cing_gyrus_post,1,regional and tissue volume,"Volume of grey matter in Right Cingulate Gyrus, posterior division",0.144,0.0183
0086,0086,25842,IDP_T1_FAST_ROIs_L_precun_cortex,1,regional and tissue volume,Volume of grey matter in Left Precuneous Cortex,0.202,0.0215
0087,0087,25843,IDP_T1_FAST_ROIs_R_precun_cortex,1,regional and tissue volume,Volume of grey matter in Right Precuneous Cortex,0.205,0.0228
0088,0088,25844,IDP_T1_FAST_ROIs_L_cuneal_cortex,1,regional and tissue volume,Volume of grey matter in Left Cuneal Cortex,0.158,0.0157
0089,0089,25845,IDP_T1_FAST_ROIs_R_cuneal_cortex,1,regional and tissue volume,Volume of grey matter in Right Cuneal Cortex,0.151,0.0175
0090,0090,25846,IDP_T1_FAST_ROIs_L_front_orb_cortex,1,regional and tissue volume,Volume of grey matter in Left Frontal Orbital Cortex,0.201,0.0202
0091,0091,25847,IDP_T1_FAST_ROIs_R_front_orb_cortex,1,regional and tissue volume,Volume of grey matter in Right Frontal Orbital Cortex,0.194,0.024
0092,0092,25848,IDP_T1_FAST_ROIs_L_parahipp_gyrus_ant,1,regional and tissue volume,"Volume of grey matter in Left Parahippocampal Gyrus, anterior division",0.187,0.0184
0093,0093,25849,IDP_T1_FAST_ROIs_R_parahipp_gyrus_ant,1,regional and tissue volume,"Volume of grey matter in Right Parahippocampal Gyrus, anterior division",0.198,0.0175
0094,0094,25850,IDP_T1_FAST_ROIs_L_parahipp_gyrus_post,1,regional and tissue volume,"Volume of grey matter in Left Parahippocampal Gyrus, posterior division",0.206,0.0206
0095,0095,25851,IDP_T1_FAST_ROIs_R_parahipp_gyrus_post,1,regional and tissue volume,"Volume of grey matter in Right Parahippocampal Gyrus, posterior division",0.221,0.0195
0096,0096,25852,IDP_T1_FAST_ROIs_L_lingual_gyrus,1,regional and tissue volume,Volume of grey matter in Left Lingual Gyrus,0.161,0.0185
0097,0097,25853,IDP_T1_FAST_ROIs_R_lingual_gyrus,1,regional and tissue volume,Volume of grey matter in Right Lingual Gyrus,0.206,0.0214
0098,0098,25854,IDP_T1_FAST_ROIs_L_temp_fusif_cortex_ant,1,regional and tissue volume,"Volume of grey matter in Left Temporal Fusiform Cortex, anterior division",0.137,0.0165
0099,0099,25855,IDP_T1_FAST_ROIs_R_temp_fusif_cortex_ant,1,regional and tissue volume,"Volume of grey matter in Right Temporal Fusiform Cortex, anterior division",0.168,0.0169
0100,0100,25856,IDP_T1_FAST_ROIs_L_temp_fusif_cortex_post,1,regional and tissue volume,"Volume of grey matter in Left Temporal Fusiform Cortex, posterior division",0.214,0.0208
0101,0101,25857,IDP_T1_FAST_ROIs_R_temp_fusif_cortex_post,1,regional and tissue volume,"Volume of grey matter in Right Temporal Fusiform Cortex, posterior division",0.214,0.0194
0102,0102,25858,IDP_T1_FAST_ROIs_L_temp_occ_fusif_cortex,1,regional and tissue volume,Volume of grey matter in Left Temporal Occipital Fusiform Cortex,0.154,0.0182
0103,0103,25859,IDP_T1_FAST_ROIs_R_temp_occ_fusif_cortex,1,regional and tissue volume,Volume of grey matter in Right Temporal Occipital Fusiform Cortex,0.184,0.0183
0104,0104,25860,IDP_T1_FAST_ROIs_L_occ_fusif_gyrus,1,regional and tissue volume,Volume of grey matter in Left Occipital Fusiform Gyrus,0.135,0.0178
0105,0105,25861,IDP_T1_FAST_ROIs_R_occ_fusif_gyrus,1,regional and tissue volume,Volume of grey matter in Right Occipital Fusiform Gyrus,0.117,0.0169
0106,0106,25862,IDP_T1_FAST_ROIs_L_front_operc_cortex,1,regional and tissue volume,Volume of grey matter in Left Frontal Operculum Cortex,0.139,0.0167
0107,0107,25863,IDP_T1_FAST_ROIs_R_front_operc_cortex,1,regional and tissue volume,Volume of grey matter in Right Frontal Operculum Cortex,0.109,0.0157
0108,0108,25864,IDP_T1_FAST_ROIs_L_cent_operc_cortex,1,regional and tissue volume,Volume of grey matter in Left Central Opercular Cortex,0.148,0.016
0109,0109,25865,IDP_T1_FAST_ROIs_R_cent_operc_cortex,1,regional and tissue volume,Volume of grey matter in Right Central Opercular Cortex,0.18,0.0192
0110,0110,25866,IDP_T1_FAST_ROIs_L_parietal_operc_cortex,1,regional and tissue volume,Volume of grey matter in Left Parietal Operculum Cortex,0.136,0.0156
0111,0111,25867,IDP_T1_FAST_ROIs_R_parietal_operc_cortex,1,regional and tissue volume,Volume of grey matter in Right Parietal Operculum Cortex,0.172,0.0184
0112,0112,25868,IDP_T1_FAST_ROIs_L_planum_polare,1,regional and tissue volume,Volume of grey matter in Left Planum Polare,0.176,0.0178
0113,0113,25869,IDP_T1_FAST_ROIs_R_planum_polare,1,regional and tissue volume,Volume of grey matter in Right Planum Polare,0.183,0.0196
0114,0114,25870,IDP_T1_FAST_ROIs_L_heschl_gyrus,1,regional and tissue volume,Volume of grey matter in Left Heschl's Gyrus (includes H1 and H2),0.199,0.0183
0115,0115,25871,IDP_T1_FAST_ROIs_R_heschl_gyrus,1,regional and tissue volume,Volume of grey matter in Right Heschl's Gyrus (includes H1 and H2),0.212,0.0183
0116,0116,25872,IDP_T1_FAST_ROIs_L_planum_temporale,1,regional and tissue volume,Volume of grey matter in Left Planum Temporale,0.176,0.0179
0117,0117,25873,IDP_T1_FAST_ROIs_R_planum_temporale,1,regional and tissue volume,Volume of grey matter in Right Planum Temporale,0.192,0.018
0118,0118,25874,IDP_T1_FAST_ROIs_L_supracalc_cortex,1,regional and tissue volume,Volume of grey matter in Left Supracalcarine Cortex,0.183,0.0193
0119,0119,25875,IDP_T1_FAST_ROIs_R_supracalc_cortex,1,regional and tissue volume,Volume of grey matter in Right Supracalcarine Cortex,0.186,0.0189
0120,0120,25876,IDP_T1_FAST_ROIs_L_occ_pole,1,regional and tissue volume,Volume of grey matter in Left Occipital Pole,0.162,0.0187
0121,0121,25877,IDP_T1_FAST_ROIs_R_occ_pole,1,regional and tissue volume,Volume of grey matter in Right Occipital Pole,0.204,0.0195
0122,0122,25878,IDP_T1_FAST_ROIs_L_thalamus,1,regional and tissue volume,Volume of grey matter in Left Thalamus,0.27,0.0217
0123,0123,25879,IDP_T1_FAST_ROIs_R_thalamus,1,regional and tissue volume,Volume of grey matter in Right Thalamus,0.292,0.0202
0124,0124,25880,IDP_T1_FAST_ROIs_L_caudate,1,regional and tissue volume,Volume of grey matter in Left Caudate,0.27,0.0217
0125,0125,25881,IDP_T1_FAST_ROIs_R_caudate,1,regional and tissue volume,Volume of grey matter in Right Caudate,0.276,0.0225
0126,0126,25882,IDP_T1_FAST_ROIs_L_putamen,1,regional and tissue volume,Volume of grey matter in Left Putamen,0.288,0.0288
0127,0127,25883,IDP_T1_FAST_ROIs_R_putamen,1,regional and tissue volume,Volume of grey matter in Right Putamen,0.287,0.0296
0128,0128,25884,IDP_T1_FAST_ROIs_L_pallidum,1,regional and tissue volume,Volume of grey matter in Left Pallidum,0.167,0.0183
0129,0129,25885,IDP_T1_FAST_ROIs_R_pallidum,1,regional and tissue volume,Volume of grey matter in Right Pallidum,0.165,0.0181
0130,0130,25886,IDP_T1_FAST_ROIs_L_hippocampus,1,regional and tissue volume,Volume of grey matter in Left Hippocampus,0.265,0.023
0131,0131,25887,IDP_T1_FAST_ROIs_R_hippocampus,1,regional and tissue volume,Volume of grey matter in Right Hippocampus,0.273,0.0248
0132,0132,25888,IDP_T1_FAST_ROIs_L_amygdala,1,regional and tissue volume,Volume of grey matter in Left Amygdala,0.187,0.0194
0133,0133,25889,IDP_T1_FAST_ROIs_R_amygdala,1,regional and tissue volume,Volume of grey matter in Right Amygdala,0.166,0.0153
0134,0134,25890,IDP_T1_FAST_ROIs_L_ventral_striatum,1,regional and tissue volume,Volume of grey matter in Left Ventral Striatum,0.28,0.0292
0135,0135,25891,IDP_T1_FAST_ROIs_R_ventral_striatum,1,regional and tissue volume,Volume of grey matter in Right Ventral Striatum,0.276,0.0289
0136,0136,25892,IDP_T1_FAST_ROIs_brain_stem,1,regional and tissue volume,Volume of grey matter in Brain-Stem,0.251,0.023
0137,0137,25893,IDP_T1_FAST_ROIs_L_cerebellum_I-IV,1,regional and tissue volume,Volume of grey matter in Left I-IV Cerebellum,0.283,0.0211
0138,0138,25894,IDP_T1_FAST_ROIs_R_cerebellum_I-IV,1,regional and tissue volume,Volume of grey matter in Right I-IV Cerebellum,0.284,0.0199
0139,0139,25895,IDP_T1_FAST_ROIs_L_cerebellum_V,1,regional and tissue volume,Volume of grey matter in Left V Cerebellum,0.28,0.021
0140,0140,25896,IDP_T1_FAST_ROIs_R_cerebellum_V,1,regional and tissue volume,Volume of grey matter in Right V Cerebellum,0.274,0.0203
0141,0141,25897,IDP_T1_FAST_ROIs_L_cerebellum_VI,1,regional and tissue volume,Volume of grey matter in Left VI Cerebellum,0.274,0.0239
0142,0142,25898,IDP_T1_FAST_ROIs_V_cerebellum_VI,1,regional and tissue volume,Volume of grey matter in Vermis VI Cerebellum,0.258,0.0224
0143,0143,25899,IDP_T1_FAST_ROIs_R_cerebellum_VI,1,regional and tissue volume,Volume of grey matter in Right VI Cerebellum,0.269,0.0226
0144,0144,25900,IDP_T1_FAST_ROIs_L_cerebellum_crus_I,1,regional and tissue volume,Volume of grey matter in Left Crus I Cerebellum,0.318,0.0235
0145,0145,25901,IDP_T1_FAST_ROIs_V_cerebellum_crus_I,1,regional and tissue volume,Volume of grey matter in Vermis Crus I Cerebellum,0.0789,0.0145
0146,0146,25902,IDP_T1_FAST_ROIs_R_cerebellum_crus_I,1,regional and tissue volume,Volume of grey matter in Right Crus I Cerebellum,0.318,0.0245
0147,0147,25903,IDP_T1_FAST_ROIs_L_cerebellum_crus_II,1,regional and tissue volume,Volume of grey matter in Left Crus II Cerebellum,0.302,0.0266
0148,0148,25904,IDP_T1_FAST_ROIs_V_cerebellum_crus_II,1,regional and tissue volume,Volume of grey matter in Vermis Crus II Cerebellum,0.232,0.0222
0149,0149,25905,IDP_T1_FAST_ROIs_R_cerebellum_crus_II,1,regional and tissue volume,Volume of grey matter in Right Crus II Cerebellum,0.329,0.0318
0150,0150,25906,IDP_T1_FAST_ROIs_L_cerebellum_VIIb,1,regional and tissue volume,Volume of grey matter in Left VIIb Cerebellum,0.287,0.0263
0151,0151,25907,IDP_T1_FAST_ROIs_V_cerebellum_VIIb,1,regional and tissue volume,Volume of grey matter in Vermis VIIb Cerebellum,0.253,0.0211
0152,0152,25908,IDP_T1_FAST_ROIs_R_cerebellum_VIIb,1,regional and tissue volume,Volume of grey matter in Right VIIb Cerebellum,0.314,0.0302
0153,0153,25909,IDP_T1_FAST_ROIs_L_cerebellum_VIIIa,1,regional and tissue volume,Volume of grey matter in Left VIIIa Cerebellum,0.279,0.0241
0154,0154,25910,IDP_T1_FAST_ROIs_V_cerebellum_VIIIa,1,regional and tissue volume,Volume of grey matter in Vermis VIIIa Cerebellum,0.316,0.025
0155,0155,25911,IDP_T1_FAST_ROIs_R_cerebellum_VIIIa,1,regional and tissue volume,Volume of grey matter in Right VIIIa Cerebellum,0.274,0.0261
0156,0156,25912,IDP_T1_FAST_ROIs_L_cerebellum_VIIIb,1,regional and tissue volume,Volume of grey matter in Left VIIIb Cerebellum,0.284,0.0239
0157,0157,25913,IDP_T1_FAST_ROIs_V_cerebellum_VIIIb,1,regional and tissue volume,Volume of grey matter in Vermis VIIIb Cerebellum,0.333,0.027
0158,0158,25914,IDP_T1_FAST_ROIs_R_cerebellum_VIIIb,1,regional and tissue volume,Volume of grey matter in Right VIIIb Cerebellum,0.255,0.0213
0159,0159,25915,IDP_T1_FAST_ROIs_L_cerebellum_IX,1,regional and tissue volume,Volume of grey matter in Left IX Cerebellum,0.338,0.0263
0160,0160,25916,IDP_T1_FAST_ROIs_V_cerebellum_IX,1,regional and tissue volume,Volume of grey matter in Vermis IX Cerebellum,0.31,0.0281
0161,0161,25917,IDP_T1_FAST_ROIs_R_cerebellum_IX,1,regional and tissue volume,Volume of grey matter in Right IX Cerebellum,0.335,0.0267
0162,0162,25918,IDP_T1_FAST_ROIs_L_cerebellum_X,1,regional and tissue volume,Volume of grey matter in Left X Cerebellum,0.255,0.0214
0163,0163,25919,IDP_T1_FAST_ROIs_V_cerebellum_X,1,regional and tissue volume,Volume of grey matter in Vermis X Cerebellum,0.253,0.0225
0164,0164,25920,IDP_T1_FAST_ROIs_R_cerebellum_X,1,regional and tissue volume,Volume of grey matter in Right X Cerebellum,0.243,0.0202
0165,0165,26514,aseg_global_volume_BrainSeg,1,regional and tissue volume,Volume of BrainSeg in the whole brain generated by subcortical volumetric segmentation (aseg),0.253,0.0246
0166,0166,26515,aseg_global_volume_BrainSegNotVent,1,regional and tissue volume,Volume of BrainSegNotVent in the whole brain generated by subcortical volumetric segmentation (aseg),0.249,0.0242
0167,0167,26516,aseg_global_volume_BrainSegNotVentSurf,1,regional and tissue volume,Volume of BrainSegNotVentSurf in the whole brain generated by subcortical volumetric segmentation (aseg),0.259,0.0249
0168,0168,26517,aseg_global_volume_SubCortGray,1,regional and tissue volume,Volume of SubCortGray in the whole brain generated by subcortical volumetric segmentation (aseg),0.331,0.0251
0169,0169,26518,aseg_global_volume_TotalGray,1,regional and tissue volume,Volume of TotalGray in the whole brain generated by subcortical volumetric segmentation (aseg),0.215,0.0204
0170,0170,26519,aseg_global_volume_SupraTentorial,1,regional and tissue volume,Volume of SupraTentorial in the whole brain generated by subcortical volumetric segmentation (aseg),0.276,0.0248
0171,0171,26520,aseg_global_volume_SupraTentorialNotVent,1,regional and tissue volume,Volume of SupraTentorialNotVent in the whole brain generated by subcortical volumetric segmentation (aseg),0.274,0.0242
0172,0172,26521,aseg_global_volume_EstimatedTotalIntraCranial,1,regional and tissue volume,Volume of EstimatedTotalIntraCranial in the whole brain generated by subcortical volumetric segmentation (aseg),0.175,0.0223
0173,0173,26522,aseg_global_volume_VentricleChoroid,1,regional and tissue volume,Volume of VentricleChoroid in the whole brain generated by subcortical volumetric segmentation (aseg),0.281,0.0252
